"FileName","Success","HasTitle","HasInstructions","InstructionCount","HasPredecessor","HasSuccessor","HasPrimaryTeam","HasImpactedTeams","MarkdownConversion","Error"
"BGO-11247_116109541.html","True","True","True","2","True","True","True","False","True",""
"BGO-11338_116109450.html","True","True","True","1","True","True","True","False","False",""
"BGO-11375_116109181.html","True","True","True","1","True","True","True","False","False",""
"BGO-11588_116109857.html","True","True","True","4","True","True","True","False","False",""
"BGO-11648_116110019.html","True","True","True","1","True","True","True","False","False",""
"BGO-11658_116109251.html","True","True","True","1","True","True","True","False","False",""
"BGO-11961_116109412.html","True","True","True","1","True","True","True","False","False",""
"BGO-12047_116109006.html","True","True","True","1","True","True","True","False","False",""
"BGO-12120_116109010.html","True","True","True","1","True","True","True","False","False",""
"BGO-12138_116109504.html","True","True","True","1","True","True","True","False","False",""
"BGO-12218_116109168.html","True","True","True","3","True","True","True","False","False",""
"BGO-12233_116109166.html","True","True","True","3","True","True","True","False","False",""
"BGO-12292_116109159.html","True","True","True","1","True","True","True","False","False",""
"BGO-12726_116109014.html","True","True","True","4","True","True","True","False","False",""
"BGO-12916_116109556.html","True","True","True","1","True","True","True","False","False",""
"BGO-12921_116109596.html","True","True","True","1","True","True","True","False","False",""
"BGO-13003_116109994.html","True","True","True","2","True","True","True","False","False",""
"BGO-13020_116109182.html","True","True","True","1","True","True","True","False","False",""
"BGO-13144_116109005.html","True","True","True","1","True","True","True","False","False",""
"BGO-13263_116109623.html","True","True","True","3","True","True","True","False","False",""
"BGO-13494b_119495661.html","True","True","True","1","True","True","True","False","False",""
"BGO-13494_116109064.html","True","True","True","1","True","True","True","False","False",""
"BGO-13575b_119495863.html","True","True","True","1","True","True","True","False","False",""
"BGO-13575_116109065.html","True","True","True","1","True","True","True","False","False",""
"BGO-13746_116109147.html","True","True","True","2","True","True","True","False","False",""
"BGO-13769_116109103.html","True","True","True","1","True","True","True","False","False",""
"BGO-13774_116109106.html","True","True","True","1","True","True","True","False","False",""
"BGO-13794_116109109.html","True","True","True","1","True","True","True","False","False",""
"BGO-13809_116109142.html","True","True","True","1","True","True","True","False","False",""
"BGO-13824_116109150.html","True","True","True","1","True","True","True","False","False",""
"BGO-13839_116109200.html","True","True","True","1","True","True","True","False","False",""
"BGO-13861_116109066.html","True","True","True","1","True","True","True","False","True",""
"BGO-13876_116109067.html","True","True","True","1","True","True","True","False","False",""
"BGO-13916_116108979.html","True","True","True","1","True","True","True","False","True",""
"BGO-13926_116109013.html","True","True","True","3","True","True","True","False","False",""
